com.samsung.health.skin_temperature,6307003,4
create_sh_ver,stat_m1,stat_m2,baseline,start_time,binning_data,stat_n,tag_id,modify_sh_ver,lower_bound,update_time,create_time,client_data_id,upper_bound,max,min,client_data_ver,temperature,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
,33.759617,1139.9686,34.25074,2025-11-08 02:13:00.000,4af35287-ca14-4927-b3cf-80b5eae9db67.binning_data.json,395,31301,,33.056976,2025-11-08 09:33:54.382,2025-11-08 09:33:54.382,,35.131435,34.845016,32.59155,,33.759617,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-08 09:06:00.000,4af35287-ca14-4927-b3cf-80b5eae9db67,
,34.12733,1164.9761,34.159103,2025-11-09 04:03:00.000,5f6548d1-5087-405b-8bc1-afd7ef0e738c.binning_data.json,224,31301,,33.04322,2025-11-09 08:33:16.417,2025-11-09 08:33:16.417,,35.09731,35.259842,33.28215,,34.12733,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-09 08:08:00.000,5f6548d1-5087-405b-8bc1-afd7ef0e738c,
,33.71465,1137.4622,34.201603,2025-11-10 02:12:00.000,5a84ee3c-3748-459c-abd8-57f1010c330c.binning_data.json,427,31301,,33.16128,2025-11-10 10:08:31.597,2025-11-10 10:08:31.597,,35.167805,35.107468,31.079842,,33.71465,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-10 09:41:00.000,5a84ee3c-3748-459c-abd8-57f1010c330c,
,33.718777,1137.3186,34.039814,2025-11-12 03:04:00.000,1cf428c7-fa44-415d-8064-b2e4a92b7eb2.binning_data.json,219,31301,,33.23522,2025-11-12 07:02:23.092,2025-11-12 07:02:23.092,,35.089973,34.693024,32.458298,,33.718777,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-12 07:02:00.000,1cf428c7-fa44-415d-8064-b2e4a92b7eb2,
,33.815838,1143.8868,34.002216,2025-11-12 07:05:00.000,a2a4cfbb-a727-41de-8bb2-8cb223ac50a3.binning_data.json,132,31301,,33.079838,2025-11-12 09:29:29.790,2025-11-12 09:29:29.790,,35.010582,34.61709,32.34032,,33.815838,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-12 09:29:00.000,a2a4cfbb-a727-41de-8bb2-8cb223ac50a3,
,34.047466,1159.4454,33.943504,2025-11-13 04:21:00.000,c624ea21-0527-456b-b121-a7dfb653a438.binning_data.json,223,31301,,32.820953,2025-11-13 08:34:31.831,2025-11-13 08:34:31.831,,34.904488,34.635235,32.6666,,34.047466,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-13 08:21:00.000,c624ea21-0527-456b-b121-a7dfb653a438,
,33.41368,1116.5258,33.839397,2025-11-14 02:08:00.000,ea59ae52-c891-4394-8b87-62f222ab10e1.binning_data.json,88,31301,,32.66778,2025-11-14 03:51:41.011,2025-11-14 03:51:41.011,,34.779564,33.784424,33.046745,,33.41368,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-14 03:51:00.000,ea59ae52-c891-4394-8b87-62f222ab10e1,
,33.24483,1105.531,33.818134,2025-11-14 03:54:00.000,55e65d7e-d701-4b8c-9e87-c70c8353b8da.binning_data.json,340,31301,,32.730946,2025-11-14 10:10:28.860,2025-11-14 10:10:28.860,,34.70777,34.2546,32.162155,,33.24483,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-14 09:47:00.000,55e65d7e-d701-4b8c-9e87-c70c8353b8da,
,32.843666,1079.319,33.720734,2025-11-15 04:45:00.000,ae83b865-ab4d-4e2b-bb3a-645cab630b59.binning_data.json,155,31301,,32.544277,2025-11-15 07:41:07.999,2025-11-15 07:41:07.999,,34.692074,34.41876,31.765682,,32.843666,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-15 07:41:00.000,ae83b865-ab4d-4e2b-bb3a-645cab630b59,
,34.331223,1178.763,33.659023,2025-11-15 07:43:00.000,6c3858ec-515b-4f9f-974d-c6a4467f73a2.binning_data.json,47,31301,,32.43305,2025-11-15 09:09:11.940,2025-11-15 09:09:11.940,,34.653027,35.16505,33.802456,,34.331223,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-15 08:43:00.000,6c3858ec-515b-4f9f-974d-c6a4467f73a2,
,34.785202,1210.2312,33.654636,2025-11-16 03:45:00.000,889e580a-be02-47da-bf7a-6e07388d0ca0.binning_data.json,124,31301,,32.531704,2025-11-16 06:31:25.298,2025-11-16 06:31:25.298,,34.698746,35.630272,34.03454,,34.785202,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-16 06:05:00.000,889e580a-be02-47da-bf7a-6e07388d0ca0,
,34.915745,1219.4349,33.725475,2025-11-16 06:40:00.000,25ad0d77-1aaf-412b-941f-8b05a96f818c.binning_data.json,113,31301,,32.690548,2025-11-16 09:09:51.501,2025-11-16 09:09:51.501,,34.768883,35.58052,33.62567,,34.915745,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-16 08:46:00.000,25ad0d77-1aaf-412b-941f-8b05a96f818c,
,34.07648,1161.4059,33.749287,2025-11-17 04:02:00.000,e9941276-f1d5-48ed-b359-19d4ad8d8a70.binning_data.json,85,31301,,32.73349,2025-11-17 06:10:12.364,2025-11-17 06:10:12.364,,34.808968,35.022865,33.134853,,34.07648,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-17 05:43:00.000,e9941276-f1d5-48ed-b359-19d4ad8d8a70,
