com.samsung.shealth.activity.day_summary,6307003,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,0,,0,90,0,,2022-09-25 00:28:49.711,,2022-09-25 00:28:49.711,,,,-1,0,0,,,,0.0,,0.0,dcf1eca3-6663-4643-a2ac-9a2f185147b0.extra_data.json,R5wtjjS0Fd,0,com.sec.android.app.shealth,0,-1,dcf1eca3-6663-4643-a2ac-9a2f185147b0,2022-09-13 00:00:00.000,
,,,,0,,0,90,0,,2022-09-25 00:28:49.722,,2022-09-25 00:28:49.722,,,,-1,0,0,,,,0.0,,0.0,01578596-d948-482c-a0cc-4b1421935465.extra_data.json,R5wtjjS0Fd,0,com.sec.android.app.shealth,0,-1,01578596-d948-482c-a0cc-4b1421935465,2022-09-14 00:00:00.000,
,,,,0,,0,90,0,,2022-09-25 00:28:49.746,,2022-09-25 00:28:49.746,,,,-1,0,0,,,,0.0,,0.0,2ea56728-6610-47f9-8693-b91a8649f554.extra_data.json,R5wtjjS0Fd,0,com.sec.android.app.shealth,0,-1,2ea56728-6610-47f9-8693-b91a8649f554,2022-09-15 00:00:00.000,
,,,,0,,0,90,0,,2022-09-25 00:28:49.796,,2022-09-25 00:28:49.796,,,,-1,0,0,,,,0.0,,0.0,12413d4d-ffca-4660-8d22-a38f38b70952.extra_data.json,R5wtjjS0Fd,0,com.sec.android.app.shealth,0,-1,12413d4d-ffca-4660-8d22-a38f38b70952,2022-09-16 00:00:00.000,
,,,,0,,0,90,0,,2022-09-25 00:28:49.809,,2022-09-25 00:28:49.809,,,,-1,0,0,,,,0.0,,0.0,d83214cd-fb19-441d-bd59-1def7c730442.extra_data.json,R5wtjjS0Fd,0,com.sec.android.app.shealth,0,-1,d83214cd-fb19-441d-bd59-1def7c730442,2022-09-17 00:00:00.000,
,,,,0,,0,90,0,,2022-09-25 00:28:49.826,,2022-09-25 00:28:49.826,,,,-1,0,0,,,,0.0,,0.0,80671bf7-f2cd-4bfa-90fc-6c4af93115e4.extra_data.json,R5wtjjS0Fd,0,com.sec.android.app.shealth,0,-1,80671bf7-f2cd-4bfa-90fc-6c4af93115e4,2022-09-18 00:00:00.000,
,,,,0,,0,90,0,,2022-09-25 00:28:49.834,,2022-09-25 00:28:49.834,,,,-1,0,0,,,,0.0,,0.0,b2ecd24b-71f1-4516-b8bd-4e4b9b511fdf.extra_data.json,R5wtjjS0Fd,0,com.sec.android.app.shealth,0,-1,b2ecd24b-71f1-4516-b8bd-4e4b9b511fdf,2022-09-19 00:00:00.000,
,,,,0,,0,90,0,,2022-09-25 00:28:49.852,,2022-09-25 00:28:49.852,,,,-1,0,0,,,,0.0,,0.0,c61cc11d-189b-4759-a274-c20b90204907.extra_data.json,R5wtjjS0Fd,0,com.sec.android.app.shealth,0,-1,c61cc11d-189b-4759-a274-c20b90204907,2022-09-20 00:00:00.000,
,,,,0,,0,90,0,,2022-09-25 00:28:49.866,,2022-09-25 00:28:49.866,,,,-1,0,0,,,,0.0,,0.0,2cbf55c6-15a9-459d-a898-46735d6fec2c.extra_data.json,R5wtjjS0Fd,0,com.sec.android.app.shealth,0,-1,2cbf55c6-15a9-459d-a898-46735d6fec2c,2022-09-21 00:00:00.000,
,,,,0,,0,90,0,,2022-09-25 00:28:49.880,,2022-09-25 00:28:49.880,,,,-1,0,0,,,,0.0,,0.0,3f0295cc-4abb-4075-9df5-52e70769c706.extra_data.json,R5wtjjS0Fd,0,com.sec.android.app.shealth,0,-1,3f0295cc-4abb-4075-9df5-52e70769c706,2022-09-22 00:00:00.000,
