com.samsung.shealth.social.service_status,6307003,1
status,update_time,create_time,service_type,deviceuuid,pkg_name,datauuid
0,2025-11-14 13:42:41.436,2025-11-14 13:42:41.436,1,Yrp2M34ZOI,com.sec.android.app.shealth,987a12ae-ed42-4989-9556-425c5c4f5c09,
0,2025-11-14 13:42:41.436,2025-11-14 13:42:41.436,2,Yrp2M34ZOI,com.sec.android.app.shealth,1a3b251e-7472-4ab6-a119-97ed4e593063,
100,2025-11-14 13:42:41.436,2025-11-14 13:42:41.436,3,Yrp2M34ZOI,com.sec.android.app.shealth,88c5ee2e-75e9-4131-985f-bb99483f81e5,
