com.samsung.shealth.hsp.references,6307003,1
hsp_id,shealth_id,update_time,create_time,shealth_data_type,deviceuuid,pkg_name,datauuid
7630633c-7af8-40a1-a7fe-43a3bf5195cf,8974d206-b0ff-4560-8db9-c0c644f3f0f3,2025-10-26 18:47:32.475,2025-10-26 18:47:32.475,10000,R5wtjjS0Fd,com.sec.android.app.shealth,bc24dbdb-1352-4101-8c46-94e8378dda34,
c7c68fef-f3e0-4345-afbb-463fa0fd5893,11aaa94a-9dcc-4207-9ae0-adff72416e1d,2025-10-26 18:52:34.627,2025-10-26 18:52:34.627,10004,R5wtjjS0Fd,com.sec.android.app.shealth,409bc9da-07b3-4eec-bd9a-d7d859faea91,
be458e74-081d-447d-aa68-60cfb6fe1ba0,5223422f-4d6b-4139-8277-6a44b52d5b0e,2025-10-26 18:52:34.639,2025-10-26 18:52:34.639,10004,R5wtjjS0Fd,com.sec.android.app.shealth,85b6cb06-5ce6-409d-ad16-0398b64fd5ac,
0bfdb993-8ab3-4839-8e90-834f9d6060ab,67ea8ec6-4c94-4381-b99f-e170962c6279,2025-10-26 18:52:34.650,2025-10-26 18:52:34.650,10004,R5wtjjS0Fd,com.sec.android.app.shealth,21a47964-beac-4455-b7b3-96d1f86c8c8c,
69f1ec92-795e-4a0f-9a6f-3702f4614fe2,0d564f53-a57e-485f-a1e7-31f4e9eda445,2025-10-26 18:52:34.656,2025-10-26 18:52:34.656,10004,R5wtjjS0Fd,com.sec.android.app.shealth,3a800fb9-bcf3-4792-8d1f-e65c091b3d4c,
6c523694-9407-4576-97b7-c86330f64818,4840be6c-053d-46a3-9201-e1cef08c6302,2025-10-26 19:21:57.384,2025-10-26 19:21:57.384,10007,R5wtjjS0Fd,com.sec.android.app.shealth,ebbc3e8b-3a77-4e97-8fdc-7f6c9d3254cd,
9e9cc570-ab7f-4544-9119-77fafe3c8355,ab2cfef9-e5c9-44c7-80a0-5c42339dd81a,2025-10-26 19:21:57.391,2025-10-26 19:21:57.391,10007,R5wtjjS0Fd,com.sec.android.app.shealth,7bdc763e-8da1-49aa-a56b-1d7a49ff0523,
84061b1a-62ba-43ab-9309-d8471dd016d1,70dda7a2-17c8-4bab-bbce-c0e9556d5d5d,2025-10-26 20:36:44.362,2025-10-26 20:36:44.362,10004,R5wtjjS0Fd,com.sec.android.app.shealth,cecbedd4-fe92-4805-a218-478e4c4b6ba8,
5f04711b-260f-4aa8-87ba-d52d12689c8b,0ae14724-d31b-4695-815e-daa66e16c3c1,2025-10-26 20:36:44.377,2025-10-26 20:36:44.377,10004,R5wtjjS0Fd,com.sec.android.app.shealth,1d9fdb49-86f6-429c-98f0-1e7ae7f5ceca,
7e1071ca-435b-4498-937e-8441153489cc,ed7eb281-b4f8-4797-b552-b7dd424b6f20,2025-10-26 21:16:39.180,2025-10-26 21:16:39.180,10004,R5wtjjS0Fd,com.sec.android.app.shealth,a975d6f9-9ccd-43ea-b186-cb7ead92d4dc,
