com.samsung.health.floors_climbed,6307003,7
start_time,custom,update_time,create_time,client_data_id,client_data_ver,floor,raw_data,time_offset,deviceuuid,pkg_name,end_time,datauuid
2025-11-12 03:00:00.000,,2025-11-12 12:36:13.726,2025-11-12 12:36:13.726,,,1.0,dfc2e84b-1f43-46f8-87eb-066d349e57e7.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-12 12:35:40.000,dfc2e84b-1f43-46f8-87eb-066d349e57e7,
2025-11-12 12:35:42.087,,2025-11-12 15:42:30.015,2025-11-12 15:42:30.015,,,1.0,9ccb31ca-088c-41bc-aaa8-0804d82a9ffc.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-12 15:39:16.000,9ccb31ca-088c-41bc-aaa8-0804d82a9ffc,
2025-11-12 15:39:16.000,,2025-11-12 16:55:46.828,2025-11-12 16:55:46.828,,,1.0,761c6344-de73-42a9-9054-112e06fabe96.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-12 16:54:03.000,761c6344-de73-42a9-9054-112e06fabe96,
2025-11-13 03:00:00.000,,2025-11-13 09:04:51.284,2025-11-13 09:04:51.284,,,1.0,a5bd6400-6161-4937-a75e-b188f6e34d65.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-13 09:03:36.000,a5bd6400-6161-4937-a75e-b188f6e34d65,
2025-11-13 09:03:36.001,,2025-11-13 13:30:26.344,2025-11-13 13:30:26.344,,,1.0,6c7c8509-d365-402c-945f-55e10eb1473a.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-13 13:30:01.000,6c7c8509-d365-402c-945f-55e10eb1473a,
2025-11-14 03:00:00.140,,2025-11-14 17:30:59.818,2025-11-14 17:30:59.818,,,1.0,0dc94266-f354-4c1b-a63f-265c6da799b0.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-14 17:26:03.001,0dc94266-f354-4c1b-a63f-265c6da799b0,
2025-11-15 03:00:00.162,,2025-11-15 13:10:13.551,2025-11-15 13:10:13.551,,,1.0,a9933604-95b9-4252-b4e9-0bd7a4f41b1b.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-15 12:57:35.999,a9933604-95b9-4252-b4e9-0bd7a4f41b1b,
2025-11-15 12:57:24.717,,2025-11-15 17:12:24.972,2025-11-15 17:12:24.972,,,1.0,baa3461a-760c-44d5-9b9e-e622b5f47978.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-15 17:10:20.000,baa3461a-760c-44d5-9b9e-e622b5f47978,
2025-11-16 03:00:00.248,,2025-11-16 10:45:50.781,2025-11-16 10:45:50.781,,,1.0,fe326e78-4e8e-4cff-92b4-071b2d03d59b.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-16 10:44:17.000,fe326e78-4e8e-4cff-92b4-071b2d03d59b,
2025-11-16 10:44:16.999,,2025-11-16 11:07:01.259,2025-11-16 11:07:01.132,,,2.0,7886b233-d559-49e1-8082-3701713b465e.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-16 11:04:32.000,7886b233-d559-49e1-8082-3701713b465e,
2025-11-16 11:04:32.001,,2025-11-16 12:07:38.439,2025-11-16 12:07:38.373,,,2.0,955ab395-180d-4efc-8f0b-961ceb9af96e.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-16 11:54:38.000,955ab395-180d-4efc-8f0b-961ceb9af96e,
2025-11-16 11:54:38.000,,2025-11-16 12:07:38.500,2025-11-16 12:07:38.500,,,1.0,3fe6a225-ea6c-4c5a-ae92-a81471f80f4d.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-16 11:56:13.999,3fe6a225-ea6c-4c5a-ae92-a81471f80f4d,
2025-11-16 11:56:14.000,,2025-11-16 12:07:38.698,2025-11-16 12:07:38.547,,,3.0,c5a35c0d-cc81-4740-8bbd-e2e3e0a84559.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-16 12:01:54.999,c5a35c0d-cc81-4740-8bbd-e2e3e0a84559,
2025-11-16 12:01:49.774,,2025-11-16 21:33:44.105,2025-11-16 21:33:44.105,,,1.0,694db359-a13c-4e5f-8ffb-d5da1aaa13b9.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-16 21:33:12.999,694db359-a13c-4e5f-8ffb-d5da1aaa13b9,
2025-11-17 03:00:00.000,,2025-11-17 23:34:40.092,2025-11-17 23:34:40.092,,,1.0,ccda1ddd-884a-4574-afd5-5be0c88ac959.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-17 23:34:11.999,ccda1ddd-884a-4574-afd5-5be0c88ac959,
2025-11-18 03:00:00.000,,2025-11-18 16:29:05.201,2025-11-18 16:29:05.201,,,1.0,90a4ca1a-8752-49ef-a45f-0df73074ad7a.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-18 16:25:17.000,90a4ca1a-8752-49ef-a45f-0df73074ad7a,
2025-11-18 16:25:14.482,,2025-11-18 17:40:07.680,2025-11-18 17:40:07.680,,,1.0,6ee81ef2-e800-40cc-90e0-976bcceb12de.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-18 17:39:27.000,6ee81ef2-e800-40cc-90e0-976bcceb12de,
2025-11-18 17:39:27.001,,2025-11-18 18:29:42.444,2025-11-18 18:29:42.444,,,1.0,ff034583-d4e5-4e54-87e3-4ce10609c18c.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-18 18:27:52.001,ff034583-d4e5-4e54-87e3-4ce10609c18c,
2025-11-19 03:00:00.000,,2025-11-19 13:25:28.052,2025-11-19 13:25:28.052,,,1.0,c2892973-4b92-4c88-b20f-b696d6d16648.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-19 13:23:05.000,c2892973-4b92-4c88-b20f-b696d6d16648,
2025-11-20 03:00:05.063,,2025-11-20 12:43:49.386,2025-11-20 12:43:49.386,,,1.0,9272cdb8-4ae0-4265-ab94-7b1fc4d8b143.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-20 12:37:38.000,9272cdb8-4ae0-4265-ab94-7b1fc4d8b143,
2025-11-20 12:37:22.112,,2025-11-20 17:43:39.246,2025-11-20 17:43:39.246,,,1.0,4509a5b1-c13e-47c1-8508-0213fdd57c57.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-20 17:43:20.000,4509a5b1-c13e-47c1-8508-0213fdd57c57,
2025-11-21 03:00:00.000,,2025-11-21 18:21:01.175,2025-11-21 18:21:01.175,,,1.0,1af3f6a4-32fb-49fb-80c1-249dd5e1df08.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-21 18:20:14.001,1af3f6a4-32fb-49fb-80c1-249dd5e1df08,
2025-11-21 18:20:11.121,,2025-11-21 22:01:09.770,2025-11-21 22:01:09.770,,,1.0,27baa3fb-5018-47f3-b3b2-4fc304363640.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-21 21:57:42.000,27baa3fb-5018-47f3-b3b2-4fc304363640,
2025-11-22 03:00:00.000,,2025-11-22 10:55:47.950,2025-11-22 10:55:47.950,,,1.0,829efc6e-fe95-4032-ae12-e3ca0aaa7af8.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-22 10:54:06.000,829efc6e-fe95-4032-ae12-e3ca0aaa7af8,
2025-11-22 10:54:06.000,,2025-11-22 11:16:06.658,2025-11-22 11:16:06.658,,,1.0,5d82dfd4-ae4b-4a54-9bf5-ff103c2bb808.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-22 11:13:43.000,5d82dfd4-ae4b-4a54-9bf5-ff103c2bb808,
2025-11-22 11:13:40.089,,2025-11-23 00:50:11.009,2025-11-23 00:50:11.009,,,1.0,81fed2eb-01ea-4afd-a266-4771f138d14d.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-23 00:49:48.000,81fed2eb-01ea-4afd-a266-4771f138d14d,
2025-11-23 03:00:00.868,,2025-11-23 11:22:44.614,2025-11-23 11:22:44.614,,,1.0,b3ff6fcc-b5aa-43ef-b82a-a2fcf31907fc.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-23 11:13:50.001,b3ff6fcc-b5aa-43ef-b82a-a2fcf31907fc,
2025-11-23 11:13:29.396,,2025-11-23 14:28:18.108,2025-11-23 14:28:18.108,,,1.0,8fe3a06d-7449-4bdb-b767-1aa46afd7e24.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-23 14:27:38.000,8fe3a06d-7449-4bdb-b767-1aa46afd7e24,
2025-11-24 03:00:00.000,,2025-11-24 20:05:48.372,2025-11-24 20:05:48.372,,,1.0,a165259b-a6f5-4b78-b3a6-56c14147bd3b.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-24 19:58:13.000,a165259b-a6f5-4b78-b3a6-56c14147bd3b,
2025-11-25 03:00:00.000,,2025-11-25 15:45:15.200,2025-11-25 15:45:15.200,,,1.0,8ed6b27d-e3df-4d75-9dc5-f1df956ee68f.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-25 15:45:01.000,8ed6b27d-e3df-4d75-9dc5-f1df956ee68f,
2025-11-26 03:00:00.963,,2025-11-26 11:12:10.117,2025-11-26 11:12:10.117,,,1.0,5509223b-88a2-4e82-9819-0d8b26603b35.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-26 11:11:50.001,5509223b-88a2-4e82-9819-0d8b26603b35,
2025-11-27 03:00:00.000,,2025-11-27 14:24:09.684,2025-11-27 14:24:09.684,,,1.0,f5ca8820-9019-413a-8700-7a266d2cf6ba.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-27 14:19:26.999,f5ca8820-9019-413a-8700-7a266d2cf6ba,
2025-11-27 14:19:26.999,,2025-11-27 14:24:09.756,2025-11-27 14:24:09.756,,,1.0,09bfc8ac-8d4c-403f-905e-c658d168bb7b.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-27 14:22:36.999,09bfc8ac-8d4c-403f-905e-c658d168bb7b,
2025-11-27 14:22:35.060,,2025-11-27 18:17:27.719,2025-11-27 18:17:27.719,,,1.0,c0877edf-b49f-4105-889a-ecae87c65da7.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-27 18:16:58.000,c0877edf-b49f-4105-889a-ecae87c65da7,
2025-11-28 03:00:00.000,,2025-11-28 18:02:58.597,2025-11-28 18:02:58.597,,,1.0,e476673c-a62b-481c-b2c5-d8baf7b343c1.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-28 18:02:27.999,e476673c-a62b-481c-b2c5-d8baf7b343c1,
2025-11-28 18:02:28.000,,2025-11-28 19:07:27.733,2025-11-28 19:07:27.733,,,1.0,9b3dab26-c31b-4e5f-81dc-902ab19bbc7b.raw_data.json,UTC-0300,tWUO8ZL77Z,com.sec.android.app.shealth,2025-11-28 19:07:10.001,9b3dab26-c31b-4e5f-81dc-902ab19bbc7b,
