com.samsung.health.respiratory_rate,6307003,2
create_sh_ver,start_time,custom,binning_data,modify_sh_ver,average,lower_limit,update_time,create_time,client_data_id,upper_limit,client_data_ver,is_outlier,pplib_version,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
63060051,2025-11-09 04:03:00.000,,1d2929d9-a02f-4c00-842e-b11fc528172a.binning_data.json,63060051,11.115951,11.155646,2025-11-09 08:33:15.959,2025-11-09 08:33:15.959,,11.574531,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-09 08:08:00.000,1d2929d9-a02f-4c00-842e-b11fc528172a,
63060051,2025-11-10 02:12:00.000,,cc3b096e-c096-465e-b987-483a4902b2fd.binning_data.json,63060051,11.094526,11.122133,2025-11-10 10:08:31.575,2025-11-10 10:08:31.575,,11.54994,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-10 09:41:00.000,cc3b096e-c096-465e-b987-483a4902b2fd,
63060051,2025-11-12 03:04:00.000,,2d71b9e7-09dd-4cbf-961d-a5be85ecd115.binning_data.json,63060051,11.627171,11.231023,2025-11-12 07:02:22.491,2025-11-12 07:02:22.491,,11.627849,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-12 07:02:00.000,2d71b9e7-09dd-4cbf-961d-a5be85ecd115,
63060051,2025-11-12 07:05:00.000,,35e0d29a-a166-4403-9d72-3d176bb93de1.binning_data.json,63060051,11.1178875,11.1703615,2025-11-12 09:29:29.782,2025-11-12 09:29:29.782,,11.596438,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-12 09:29:00.000,35e0d29a-a166-4403-9d72-3d176bb93de1,
63060051,2025-11-13 04:21:00.000,,b44b2593-acc0-47dd-9be3-63a8c12a77b7.binning_data.json,63060051,11.86562,11.21268,2025-11-13 08:34:31.734,2025-11-13 08:34:31.734,,11.744042,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-13 08:21:00.000,b44b2593-acc0-47dd-9be3-63a8c12a77b7,
63060051,2025-11-14 02:08:00.000,,43009aa5-000e-43b8-bb30-0006d8963f91.binning_data.json,63060051,12.850383,11.1439905,2025-11-14 03:51:40.981,2025-11-14 03:51:40.981,,11.4960375,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-14 03:51:00.000,43009aa5-000e-43b8-bb30-0006d8963f91,
63060051,2025-11-14 03:54:00.000,,7c8075aa-ed82-49ae-a401-c5a6b4f8fb04.binning_data.json,63060051,11.2725,11.1439905,2025-11-14 10:10:28.927,2025-11-14 10:10:28.927,,11.4960375,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-14 09:47:00.000,7c8075aa-ed82-49ae-a401-c5a6b4f8fb04,
63060051,2025-11-15 04:45:00.000,,f9538393-751c-4d2b-9c4c-f44a262685b6.binning_data.json,63060051,11.151871,11.1439905,2025-11-15 07:41:08.104,2025-11-15 07:41:08.104,,11.4960375,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-15 07:41:00.000,f9538393-751c-4d2b-9c4c-f44a262685b6,
63060051,2025-11-15 07:43:00.000,,54d1c615-4a33-4188-9118-e6bbf1499e40.binning_data.json,63060051,10.934841,11.1439905,2025-11-15 09:09:11.962,2025-11-15 09:09:11.962,,11.4960375,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-15 08:43:00.000,54d1c615-4a33-4188-9118-e6bbf1499e40,
63060051,2025-11-16 03:45:00.000,,b369eee0-bf56-407d-ac13-9d823067bb1b.binning_data.json,63060051,12.385902,11.1439905,2025-11-16 06:31:25.225,2025-11-16 06:31:25.225,,11.4960375,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-16 06:05:00.000,b369eee0-bf56-407d-ac13-9d823067bb1b,
63060051,2025-11-16 06:40:00.000,,44c2cf3e-c54a-4cab-a9f2-b2aab07386cc.binning_data.json,63060051,11.385095,11.1439905,2025-11-16 09:09:51.570,2025-11-16 09:09:51.570,,11.4960375,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-16 08:46:00.000,44c2cf3e-c54a-4cab-a9f2-b2aab07386cc,
63060051,2025-11-15 07:43:00.000,,a7ee7ecf-2b53-4278-adcd-ba43e4842020.binning_data.json,63060051,11.832519,11.1439905,2025-11-17 03:32:33.817,2025-11-17 03:32:33.817,,11.4960375,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-15 08:43:00.000,a7ee7ecf-2b53-4278-adcd-ba43e4842020,
63060051,2025-11-17 04:02:00.000,,31c77cb2-7318-4786-acbd-5687c27211a7.binning_data.json,63060051,12.249579,11.1439905,2025-11-17 06:10:12.392,2025-11-17 06:10:12.392,,11.4960375,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-17 05:43:00.000,31c77cb2-7318-4786-acbd-5687c27211a7,
63060051,2025-11-17 06:17:00.000,,64a8238a-f069-4019-b92c-854fd9c779c5.binning_data.json,63060051,11.395216,11.1439905,2025-11-17 09:46:00.597,2025-11-17 09:46:00.597,,11.4960375,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-17 09:17:00.000,64a8238a-f069-4019-b92c-854fd9c779c5,
63060051,2025-11-18 01:52:00.000,,4cb95795-225a-476a-a4b9-e40d47a01324.binning_data.json,63060051,10.944532,11.1439905,2025-11-18 10:48:54.330,2025-11-18 10:48:54.330,,11.4960375,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-18 10:27:00.000,4cb95795-225a-476a-a4b9-e40d47a01324,
63060051,2025-11-19 04:54:00.000,,6392201b-994e-4200-b59e-ef4893669f1a.binning_data.json,63060051,10.706705,11.1439905,2025-11-19 09:46:17.289,2025-11-19 09:46:17.289,,11.4960375,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-19 09:22:00.000,6392201b-994e-4200-b59e-ef4893669f1a,
63060051,2025-11-20 01:41:00.000,,12c2bebd-e716-4f1c-b33f-8c945d4cc91c.binning_data.json,63060051,11.024998,11.186194,2025-11-20 09:20:01.484,2025-11-20 09:20:01.484,,11.514277,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-20 09:19:00.000,12c2bebd-e716-4f1c-b33f-8c945d4cc91c,
63060051,2025-11-17 06:17:00.000,,f99fc250-e82d-4914-8750-e7a18cf7d511.binning_data.json,63060051,12.457214,11.186194,2025-11-21 03:01:23.483,2025-11-21 03:01:23.483,,11.514277,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-17 09:17:00.000,f99fc250-e82d-4914-8750-e7a18cf7d511,
63060051,2025-11-21 03:24:00.000,,6c957c67-e434-494b-8d87-ca7b7a6e7d83.binning_data.json,63060051,10.767468,11.186194,2025-11-21 06:13:10.652,2025-11-21 06:13:10.652,,11.514277,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-21 05:47:00.000,6c957c67-e434-494b-8d87-ca7b7a6e7d83,
63060051,2025-11-21 06:13:00.000,,96d5e7bc-585f-4422-b48d-81d144d13860.binning_data.json,63060051,10.30568,11.186194,2025-11-21 10:53:27.022,2025-11-21 10:53:27.022,,11.514277,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-21 10:30:00.000,96d5e7bc-585f-4422-b48d-81d144d13860,
63060051,2025-11-17 06:17:00.000,,6750c4bc-0579-4b9d-9713-5e40ef7bd188.binning_data.json,63060051,13.779199,11.186194,2025-11-21 13:24:39.797,2025-11-21 13:24:39.797,,11.514277,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-17 09:17:00.000,6750c4bc-0579-4b9d-9713-5e40ef7bd188,
63060051,2025-11-22 02:38:00.000,,716b36a5-ec33-44bd-93da-30ceddd3ed2a.binning_data.json,63060051,11.259043,11.186194,2025-11-22 09:06:20.503,2025-11-22 09:06:20.503,,11.514277,,0,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-22 09:06:00.000,716b36a5-ec33-44bd-93da-30ceddd3ed2a,
63060051,2025-11-22 09:05:00.000,,e14907ab-bfbe-4ab1-b01b-00a76c8a2e93.binning_data.json,63060051,13.392969,11.186194,2025-11-22 09:48:58.599,2025-11-22 09:48:58.599,,11.514277,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-22 09:30:00.000,e14907ab-bfbe-4ab1-b01b-00a76c8a2e93,
63060051,2025-11-23 04:54:00.000,,10e3d9e5-ee12-4b48-8015-abe3085cbb97.binning_data.json,63060051,11.636768,11.222014,2025-11-23 10:06:11.872,2025-11-23 10:06:11.872,,11.583795,,1,1.01.04,UTC-0300,tWUO8ZL77Z,,com.sec.android.app.shealth,2025-11-23 09:42:00.000,10e3d9e5-ee12-4b48-8015-abe3085cbb97,
