com.samsung.shealth.preferences,6307003,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2025-11-03 15:40:53.991,2025-11-03 12:57:52.315,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
,,,2025-11-03 12:57:40.112,2025-11-03 12:57:52.320,,,,1,Yrp2M34ZOI,com.sec.android.app.shealth,,oobe.shd_access_authority_status,
,,,2025-11-03 12:57:40.113,2025-11-03 12:57:52.322,,,,1,Yrp2M34ZOI,com.sec.android.app.shealth,,settings.location_agreement,
,,,2025-11-03 15:40:54.011,2025-11-03 12:57:52.335,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,settings.personalization_agreement,
,,,2025-11-03 12:57:40.110,2025-11-03 12:57:52.336,,,,1,Yrp2M34ZOI,com.sec.android.app.shealth,,oobe.sensitive_data_available,
,,,2025-11-03 15:40:54.006,2025-11-03 12:57:52.344,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,settings.marketing_agreement,
,,,2025-11-03 12:58:38.959,2025-11-03 12:58:38.980,,,,1,Yrp2M34ZOI,com.sec.android.app.shealth,,boost.card.selected_category,
,,,2025-11-03 12:58:38.960,2025-11-03 12:58:38.988,1762174718960,,,,Yrp2M34ZOI,com.sec.android.app.shealth,,sb.selected_time,
,,,2026-01-18 13:47:20.802,2025-11-03 12:58:41.221,1761955199999,,,,R5wtjjS0Fd,com.sec.android.app.shealth,,shealth.6.29.upgrade.date,
,tracker.sleep,,2025-12-14 22:52:39.850,2025-11-03 12:58:41.522,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,06-snore_setting_new,
,tracker.sleep,,2025-11-03 12:58:41.338,2025-11-03 12:58:41.524,,,,0,Yrp2M34ZOI,com.sec.android.app.shealth,,06-snore.setting.option_new,
1768783200000-1768788600000,tracker.sleep,,2026-01-18 14:45:59.833,2025-11-03 12:58:41.540,,,,,Yrp2M34ZOI,com.sec.android.app.shealth,,sleep_guidance_updated_bed_time,
0,tracker.exercise,,2025-11-03 12:58:41.394,2025-11-03 12:58:41.542,,,,,Yrp2M34ZOI,com.sec.android.app.shealth,,34-badges.DB.update,
,tracker.exercise,,2025-11-03 12:58:41.409,2025-11-03 12:58:41.543,,,,0,Yrp2M34ZOI,com.sec.android.app.shealth,,34-cumulative.values.reset,
mh7uo1wt_cf,tracker.exercise,,2025-11-03 12:59:11.281,2025-11-03 12:58:41.667,,,,,Yrp2M34ZOI,com.sec.android.app.shealth,,34-exercise.periodization.active.id,
,,,2022-09-25 00:29:18.295,2022-09-25 00:28:49.948,,,,0,R5wtjjS0Fd,com.sec.android.app.shealth,,together.setting_exposure_level,
,,,2022-09-25 00:29:18.296,2022-09-25 00:28:49.951,,,,0,R5wtjjS0Fd,com.sec.android.app.shealth,,together.setting_ld_auto_addition,
,tracker.exercise,,2022-09-25 00:28:46.396,2022-09-25 00:28:46.396,,,34-workout_list.blob_value.json,,R5wtjjS0Fd,com.sec.android.app.shealth,,34-workout_list,
,tracker.exercise,,2022-09-25 00:28:46.395,2022-09-25 00:28:46.395,,,34-favorite_list.blob_value.json,,R5wtjjS0Fd,com.sec.android.app.shealth,,34-favorite_list,
,,,2022-09-25 00:29:18.293,2022-09-25 00:28:49.947,,,,1,R5wtjjS0Fd,com.sec.android.app.shealth,,together.setting_gc_invitation,
,tracker.heartrate,,2025-10-26 15:47:08.309,2025-10-26 15:47:08.309,,,,0,tWUO8ZL77Z,com.sec.android.app.shealth,,05-measure.period,
,tracker.stress,,2025-10-26 15:47:20.549,2025-10-26 15:47:20.549,,,,0,tWUO8ZL77Z,com.sec.android.app.shealth,,08-measure.period,
